ODS_Available,CSV_Hybrid_Available,Difference
38,123,-85
49,126,-77
63,91,-28
60,132,-72
97,127,-30
98,129,-31
98,154,-56
101,111,-10
107,123,-16
92,88,4
83,110,-27
32,116,-84
28,172,-144
7,132,-125
19,125,-106
38,129,-91
8,133,-125
15,132,-117
24,102,-78
30,122,-92
15,110,-95
31,105,-74
41,117,-76
36,120,-84
36,136,-100
51,93,-42
61,100,-39
63,113,-50
65,111,-46
66,123,-57
67,145,-78
67,116,-49
67,117,-50
67,131,-64
93,113,-20
88,115,-27
111,106,5
110,51,59
110,139,-29
125,128,-3
128,76,52
134,111,23
141,100,41
141,117,24
114,90,24
112,76,36
125,129,-4
129,132,-3
130,118,12
135,139,-4
141,88,53
151,124,27
154,130,24
154,95,59
154,120,34
174,111,63
175,162,13
159,138,21
171,115,56
187,113,74
183,116,67
189,111,78
189,113,76
188,121,67
202,99,103
204,118,86
210,114,96
212,107,105
247,137,110
241,118,123
241,123,118
235,122,113
233,112,121
276,115,161
277,111,166
192,117,75
199,117,82
216,113,103
216,91,125
217,109,108
216,104,112
209,105,104
144,103,41
143,143,0
145,113,32
146,105,41
146,137,9
138,130,8
111,131,-20
68,126,-58
67,161,-94
70,128,-58
71,92,-21
74,122,-48
76,161,-85
89,106,-17
88,158,-70
102,126,-24
102,116,-14
130,139,-9
142,114,28
142,136,6
152,144,8
177,159,18
161,113,48
147,110,37
113,115,-2
69,72,-3
20,126,-106
11,123,-112
11,48,-37
14,107,-93
10,130,-120
10,124,-114
12,70,-58
10,87,-77
9,124,-115
8,130,-122
9,136,-127
10,135,-125
10,93,-83
9,93,-84
9,103,-94
10,142,-132
16,148,-132
10,157,-147
10,137,-127
9,132,-123
16,127,-111
13,119,-106
15,101,-86
18,110,-92
8,153,-145
11,109,-98
12,132,-120
12,111,-99
15,86,-71
7,114,-107
7,105,-98
7,112,-105
10,133,-123
16,110,-94
27,115,-88
31,126,-95
12,139,-127
25,108,-83
26,123,-97
21,119,-98
36,126,-90
36,89,-53
14,136,-122
22,116,-94
57,111,-54
61,143,-82
64,110,-46
75,102,-27
85,133,-48
21,114,-93
18,150,-132
7,109,-102
9,114,-105
8,76,-68
11,80,-69
5,128,-123
4,127,-123
6,105,-99
6,137,-131
5,104,-99
6,144,-138
6,99,-93
11,109,-98
12,95,-83
11,122,-111
15,129,-114
23,126,-103
23,106,-83
23,120,-97
14,93,-79
8,74,-66
8,122,-114
10,158,-148
11,112,-101
7,96,-89
